miRNA	MIMATid	Gene	EntrezID	RefseqID	miRWalk	miRanda	miRDB	RNA22	Targetscan	SUM
hsa-miR-155-5p	MIMAT0000646	ABAT	18	NM_000663	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	AMBN	258	NM_016519	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	LDLRAD4	753	NM_001003674	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CDH6	1004	NM_004932	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RCBTB2	1102	NM_001268	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CLCN3	1182	NM_173872	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	CSF1R	1436	NM_005211	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	DYNC1I1	1780	NM_004411	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	DRP2	1821	NM_001939	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	DSG2	1829	NM_001943	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ETS1	2113	NM_005238	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	F3	2152	NM_001993	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FANCF	2188	NM_022725	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FOXO3	2309	NM_001455	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GABRA1	2554	NM_001127644	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GCNT1	2650	NM_001097634	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GPM6B	2824	NM_001001995	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GRIN2A	2903	NM_001134407	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	IAPP	3375	NM_000415	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	JARID2	3720	NM_004973	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	LAMP2	3920	NM_002294	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	MEF2A	4205	NM_001171894	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	NARS	4677	NM_004539	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	PCDH9	5101	NM_203487	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TWF1	5756	NM_001242397	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RAB3B	5865	NM_002867	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	RORA	6095	NM_134260	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SNX1	6642	NM_003099	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SOX11	6664	NM_003108	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SP1	6667	NM_138473	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SP3	6670	NM_003111	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	STYX	6815	NM_145251	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SYPL1	6856	NM_006754	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TCF4	6925	NM_001083962	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TLE4	7091	NM_007005	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	TRPS1	7227	NM_014112	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	WEE1	7465	NM_003390	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ZIC3	7547	NM_003413	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	ZMYM2	7750	NM_003453	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	FZD3	7976	NM_017412	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	GLRA3	8001	NM_006529	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	DDX3Y	8653	NM_001122665	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	KALRN	8997	NM_001024660	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	SEMA5A	9037	NM_003966	1	1	1	1	1	5
hsa-miR-155-5p	MIMAT0000646	VAPA	9218	NM_003574	1	1	1	1	1	5
