Ensembl Gene ID	Description	Associated Gene Name
ENSG00000231049	olfactory receptor, family 52, subfamily B, member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15210]	OR52B5P
ENSG00000228913	ubiquitin D [Source:HGNC Symbol;Acc:HGNC:18795]	UBD
ENSG00000231948	HS1BP3 intronic transcript 1 (non-protein coding) [Source:HGNC Symbol;Acc:HGNC:41474]	HS1BP3-IT1
ENSG00000275008	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3 [Source:HGNC Symbol;Acc:HGNC:6331]	KIR2DL3
ENSG00000237295	heterogeneous nuclear ribonucleoprotein A1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:13958]	HNRNPA1P2
ENSG00000279302	microRNA 3622b [Source:HGNC Symbol;Acc:HGNC:38961]	MIR3622B
ENSG00000180383	defensin, beta 124 [Source:HGNC Symbol;Acc:HGNC:18104]	DEFB124
ENSG00000229093	olfactory receptor, family 51, subfamily AB, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:31278]	OR51AB1P
ENSG00000277657	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3 [Source:HGNC Symbol;Acc:HGNC:6335]	KIR2DS3
ENSG00000277894	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000162444	retinol binding protein 7, cellular [Source:HGNC Symbol;Acc:HGNC:30316]	RBP7
ENSG00000248553	olfactory receptor, family 52, subfamily H, member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15219]	OR52H2P
ENSG00000165583	synovial sarcoma, X breakpoint 5 [Source:HGNC Symbol;Acc:HGNC:11339]	SSX5
ENSG00000260538	major histocompatibility complex, class I, P (pseudogene) [Source:HGNC Symbol;Acc:HGNC:21196]	HLA-P
ENSG00000104671	dynactin 6 [Source:HGNC Symbol;Acc:HGNC:16964]	DCTN6
ENSG00000101400	syntrophin, alpha 1 [Source:HGNC Symbol;Acc:HGNC:11167]	SNTA1
ENSG00000228691	sialidase 1 (lysosomal sialidase) [Source:HGNC Symbol;Acc:HGNC:7758]	NEU1
ENSG00000196368	nudix (nucleoside diphosphate linked moiety X)-type motif 11 [Source:HGNC Symbol;Acc:HGNC:18011]	NUDT11
ENSG00000230357	mitochondrial coiled-coil domain 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33449]	MCCD1P1
ENSG00000167360	olfactory receptor, family 51, subfamily Q, member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14851]	OR51Q1
ENSG00000181544	Fanconi anemia, complementation group B [Source:HGNC Symbol;Acc:HGNC:3583]	FANCB
ENSG00000220212	olfactory receptor, family 4, subfamily F, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8298]	OR4F1P
ENSG00000205339	importin 7 [Source:HGNC Symbol;Acc:HGNC:9852]	IPO7
